id,latitude,longitude
3,24.082284426992,32.887715399265
4,28.479180941035,34.49981957674
5,27.106086,33.829103
8,27.213800448298,33.841209806221
9,27.240846416833,33.848536046974
10,27.241509667284,33.845314979553
11,27.251453,33.836651
12,27.102122033275,33.828242719174
13,27.080707657781,33.868165728836
14,27.396888880792,33.676842749119
15,27.171102655134,33.822964131832
16,27.261286739288,33.819087315181
17,27.205,33.824
18,27.211501,33.842209
19,27.260480816446,33.821555972099
21,27.185207,33.827041
22,27.175710348268,33.824860453606
23,27.219386883016,33.83843511343
24,27.256766,33.830074
25,27.209297090916,33.846103549003
26,27.158824885016,33.825799226761
27,27.197257318596,33.844319880009
28,27.161426119094,33.827137649059
29,27.107236,33.828432
30,27.197159506522,33.839907646179
31,27.192371381306,33.835152089596
32,27.193178155094,33.836061288361
33,27.087498855427,33.849542140961
35,27.245103153414,33.842200364418
37,27.395686280664,33.684473633766
39,27.212216784275,33.840465545654
40,27.095171247415,33.846910893917
41,27.200981270572,33.850700855255
42,27.260354448203,33.820762038231
43,27.259735,33.812742
46,26.846173,33.996902
47,27.188747347164,33.830884695053
48,27.132279,33.827717
49,27.189315175962,33.82212460041
51,27.386107579271,33.68277517791
54,25.937433,34.387421
55,30.038708884342,31.22461438179
56,30.063522826371,31.216138601303
57,29.988567530922,31.151897013187
58,30.042192,31.232014
59,30.041325692585,31.214507818222
60,30.091324,31.336312
62,29.985328579045,31.133019236771
63,30.121581888951,31.400856971741
64,29.992735,31.12575
65,30.013888726552,31.102530956268
66,30.067343732347,31.219571828842
67,30.035204992949,31.213746070862
68,30.067605,31.222385
69,30.042735071758,31.232247948646
71,30.038671733062,31.219813227653
72,29.990166,31.12821
73,30.056618822748,31.245991587639
75,25.70537,32.642642
78,25.66652,32.61991
79,25.702738080404,32.643180635582
80,25.694707058817,32.63522028923
81,25.696742,32.63706
82,25.688669278854,32.631419599056
83,28.977763412856,34.675995111465
84,26.153500085031,34.247980950718
85,26.798425312879,33.940686285496
86,26.792854,33.934793
87,26.763818,33.943547
88,26.78885555182,33.934471607208
89,26.801367666589,33.942561149597
90,27.972141,34.420353
91,27.910116001372,34.323772788048
92,27.974256516554,34.423470497131
93,27.933171,34.365217
94,27.870292375561,34.313673460905
95,27.914448402983,34.328066390213
96,27.912841722912,34.325838088989
98,27.906836,34.326589
99,27.918837810412,34.355009588955
100,27.911147043249,34.324668645859
101,27.916346,34.332503
102,27.911154548435,34.326097542328
103,27.908426,34.325848
104,27.915761724034,34.330472946167
105,27.9153,34.3313
108,27.91025347419,34.325065612793
110,27.86351,34.296703
111,27.91423,34.3416
112,27.91765548023,34.336432440475
115,27.916975207803,34.326744675636
116,27.9238,34.3518
117,29.490095784263,34.899417757988
119,18.1886,-63.0847
120,18.2596,-63.0098
121,18.1836,-63.1363
122,18.260086040457,-63.014722735168
123,18.197453,-63.091482
124,18.2279,-63.0644
125,25.070118651926,-77.392997961971
